"Diện tích","Hướng ban công","Hướng nhà","Mặt tiền","Mức giá","Nội thất","Pháp lý","Số phòng ngủ","Số phòng tắm, vệ sinh","Số tầng","url","Đường vào"
"35 m²",,,,"6,95 tỷ","Đầy đủ","Sổ đỏ/ Sổ hồng",,,,"https://batdongsan.com.vn/ban-nha-rieng-phuong-ngoc-lam-2/soc-chu-ha-gia-ban-nh-long-bien-sat-cau-chuong-duong-6-95-ty-thang-may-pr42575826",
"16.002,5 m²",,,,"19,2 tỷ",,"Sổ đỏ/ Sổ hồng",,,,"https://batdongsan.com.vn/ban-dat-duong-quoc-lo-20-thi-tran-ma-da-guoi/khu-doi-chinh-chu-tai-madagui-lam-dong-pr40699464",
"275 m²",,,,"18 tỷ",,"Sổ đỏ/ Sổ hồng.",,,"3 tầng","https://batdongsan.com.vn/ban-nha-rieng-duong-bui-quang-la-phuong-12-8/ban-gap-hxh-p12-go-vap-dt-11x25m-cn-275m2-tret-2-u-dct-50tr-th-gia-18-ty-tl-pr41874093",
"50 m²",,,"5 m","7,2 tỷ",,"Sổ đỏ/ Sổ hồng.","4 phòng","4 phòng","4 tầng","https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-van-luong-1-phuong-10-8/ban-sat-ben-lottemart-7-2-ty-50m2-tret-lung-2-lau-pr41817988","7 m"
"100 m²",,,"15 m","Thỏa thuận","Cơ bản","Sổ đỏ/ Sổ hồng","2 phòng","2 phòng","1 tầng","https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-quoc-lo-13-thi-tran-lai-uyen/ban-1-tret-1-lau-so-rieng-chi-268tr-ngay-trung-tam-khu-cn-bau-bang-binh-duong-pr42575719","25 m"
"62,2 m²",,,"5 m","2,32 tỷ",,,"4 phòng","3 phòng","2 tầng","https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-kiem-phuong-3-20/ban-can-3-q-go-vap-gia-6-5-ty-62-m2-co-shr-lh-pr42032148","5 m"
"480 m²",,,,"38 tỷ",,"Sổ đỏ/ Sổ hồng",,,,"https://batdongsan.com.vn/ban-nha-mat-pho-duong-le-duc-tho-phuong-13-8/chinh-chu-can-tien-ban-gap-mt-p13-gv-dt-9x55m-cap-4-dct-100tr-th-40-ty-83tr-m2-pr42117178",
"106 m²",,,,"21,5 tỷ",,"Sổ đỏ/ Sổ hồng",,,,"https://batdongsan.com.vn/ban-dat-duong-vanh-dai-trong-phuong-binh-tri-dong-b/an-khu-ten-lua-mt-p-dt-5-3x20m-gia-21-5-ty-pr41556298",
"40 m²",,,"6 m","2,25 tỷ","Đầy đủ","Sổ đỏ/ Sổ hồng","2 phòng","2 phòng","1 tầng","https://batdongsan.com.vn/ban-nha-rieng-duong-vo-thanh-trang-phuong-11-10/hot-nhanh-chu-de-khong-con-chi-co-2ti25-40m2-2pn-1-tan-binh-shr-dang-cho-thue-15tr-pr42575829","6 m"
"69,3 m²",,,,"3,25 tỷ","Full nội thất cao cấp.","Sổ đỏ/ Sổ hồng.","2 phòng","2 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-xa-da-ton-prj-the-sapphire-1-vinhomes-ocean-park/chinh-chu-ban-gap-2pn-2vs-goc-toa-s1-07-gia-full-noi-that-dep-tai-park-pr42113131",
"147 m²",,,"7 m","32 tỷ","Cơ bản","Sổ đỏ/ Sổ hồng","6 phòng","6 phòng","5 tầng","https://batdongsan.com.vn/ban-nha-mat-pho-duong-so-7-phuong-hiep-binh-phuoc-prj-khu-do-thi-van-phuc-city/-7-kdt-7x21m-lon-20m-thong-ra-truc-chinh-kinh-doanh-buon-ban-tot-pr42118643","20 m"
"400 m²",,,,"31 tỷ",,"Sổ đỏ/ Sổ hồng",,,,"https://batdongsan.com.vn/ban-nha-rieng-duong-phan-huy-ich-phuong-12-8/can-tien-ban-gap-2-mat-hxt-p12-gv-dt-10x40m-cap-4-gia-chi-31-ty-lh-pr42558763",
"59 m²",,,,"2,6 tỷ",,,,,,"https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-pham-van-dong-phuong-vinh-phuoc-prj-muong-thanh-vien-trieu/ke-goc-sieu-dep-tam-view-ngam-tron-bien-nui-city-pho-pr42575723",
"70 m²",,,,"1,71 tỷ",,,,,,"https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-vo-van-kiet-phuong-3-15-prj-viva-riverside/chinh-chu-ban-gap-chcc-quan-6-70m2-2pn-2wc-full-noi-that-gia-1-ty-710-pr42575834",
"270 m²","Tây - Bắc","Đông - Nam","9 m","59 tỷ","Không nội thất","Sổ đỏ/ Sổ hồng","4 phòng","5 phòng","3 tầng","https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-xuan-quan-prj-ecopark-grand-the-island/ban-nhanh-song-lap-khu-vip-nhat-hai-pr42478537","20 m"
"240 m²",,,,"9,9 tỷ","Đầy đủ","Hợp đồng mua bán","4 phòng",,"1 tầng","https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-lac-long-quan-xa-tien-thanh-1-prj-novaworld-phan-thiet/vi-xuat-ngoai-nen-can-ban-can-tam-huyet-pr42575724",
"116 m²","Tây - Nam","Đông - Bắc",,"6,55 tỷ","Cơ bản","Sổ đỏ/ Sổ hồng","3 phòng","2 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-la-khe-prj-hpc-landmark-105/ban-san-vuon-116m2-3-ngu-2vs-tai-to-huu-ha-dong-pr42369274",
"105 m²",,"Tây - Nam","5 m","18 tỷ","Cơ bản","Sổ đỏ/ Sổ hồng","5 phòng","6 phòng","4 tầng","https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-quoc-lo-13-phuong-hiep-binh-phuoc-prj-khu-do-thi-van-phuc-city/cap-t-gio-hang-san-pham-thang-8-2023-cac-truc-dep-16-ty-2-mat-tien-pr37827532","14 m"
"63 m²",,"Đông - Nam","5 m","18,3 tỷ",,,,,"5 tầng","https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-co-loa-xa-dong-hoi-prj-vinhomes-co-loa/ngoai-giao-doc-quyen-lo-canh-goc-view-vuon-hoa-gan-ho-xe-cuc-dep-gia-tot-t-loa-pr42241275?c=d1","13,5 m"
"145 m²",,,,"40 tỷ",,"Sổ đỏ/ Sổ hồng","8 phòng","4 phòng","5 tầng","https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-minh-khai-phuong-minh-khai/ban-pho-gan-cho-mo-dt-145m-x-5-tang-thang-may-gia-40-ty-pr42275228","20 m"
"77 m²",,,,"6,2 tỷ","Đầy đủ","Sổ đỏ/ Sổ hồng","2 phòng","2 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-ton-dat-tien-phuong-tan-phu-19-prj-scenic-valley-1/-ban-nha-dep-view-boi-lh-em-hang-pr42555296",
"160 m²",,,,"22 tỷ",,"Sổ đỏ/ Sổ hồng.",,,,"https://batdongsan.com.vn/ban-nha-mat-pho-duong-phan-van-tri-phuong-7-10/hot-hot-chinh-chu-ban-gap-mt-p7-gv-dt-7-5x21m-cap-4-gia-22-ty-lh-pr42185720",
"80 m²",,,"4 m","6,8 tỷ","Cơ bản","Sổ đỏ/ Sổ hồng","2 phòng","1 phòng","1 tầng","https://batdongsan.com.vn/ban-nha-rieng-duong-tan-ky-tan-quy-phuong-tan-quy-2/hem-xe-tai-dua-nhau-80m2-4mx20m-phu-chi-6-8-ty-pr42575837","5 m"
"147 m²",,,"7 m","32 tỷ","Đầy đủ","Sổ đỏ/ Sổ hồng","4 phòng","5 phòng","5 tầng","https://batdongsan.com.vn/ban-nha-mat-pho-duong-7-phuong-hiep-binh-phuoc-prj-khu-do-thi-van-phuc-city/-tien-so-7-7x21m-co-ham-hoan-thien-sieu-dep-va-hien-dai-gia-33-ty-so-hong-pr38295445","20 m"
"50 m²",,,,"4,2 tỷ",,"Đã có sổ hồng.","1 phòng","1 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-ly-chinh-thang-phuong-vo-thi-sau-prj-terra-royal/so-ng-cao-cap-q3-50m2-gia-4-5-ti-lh-pr42252190",
"241 m²","Bắc","Bắc","11,5 m","125 triệu/m²",,,"5 phòng","4 phòng","3 tầng","https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-truc-1-xa-xuan-quan-prj-khu-do-thi-ecopark/chinh-chu-can-ban-song-lap-120-tr-m2-hai-pr40182605","25 m"
"80 m²",,,,"1,5 tỷ",,"Sổ đỏ/ Sổ hồng",,,,"https://batdongsan.com.vn/ban-dat-duong-duong-cong-khi-xa-tan-hiep/ban-gap-lo-80m2-d-hoc-mon-so-hong-rieng-gia-1-5-ty-pr42575838","5 m"
"71 m²",,,,"3,9 tỷ","Đầy đủ","Sổ đỏ/ Sổ hồng","2 phòng","1 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-pham-van-nghi-phuong-tan-phong-9-prj-sky-garden-i/-tien-ban-nhanh-pmh-q7-gia-sieu-re-lh-pr42566601",
"300 m²",,,,"21 tỷ",,"Sổ đỏ/ Sổ hồng.",,,"5 tầng","https://batdongsan.com.vn/ban-nha-rieng-duong-le-duc-tho-phuong-16-3/can-ban-biet-thu-goc-2mt-hxt-p16-gv-dt-12x25m-tret-4-lau-gia-chi-21-ty-pr42177258","10 m"
"160 m²",,"Đông - Nam","20 m","8,7 tỷ","Cơ bản","Hợp đồng mua bán","4 phòng","4 phòng","3 tầng","https://batdongsan.com.vn/ban-shophouse-nha-pho-thuong-mai-xa-long-hung-6-prj-aqua-city/-5-4-ty-8-7-ty-gia-tot-nhat-du-an-pr42546530","30 m"
"63,3 m²",,,,"3,25 tỷ",,"Sổ đỏ/ Sổ hồng","2 phòng","2 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-quoc-lo-5b-xa-da-ton-prj-masteri-waterfront/re-va-dep-nhat-thi-truong-chinh-chu-ban-2n2w-tai-vinmes-oceanpark-gia-lam-ha-noi-pr42547923",
"98 m²",,,"7 m","94 tỷ","Đầy đủ","Sổ đỏ/ Sổ hồng","4 phòng","4 phòng","7 tầng","https://batdongsan.com.vn/ban-nha-mat-pho-duong-trung-phung-phuong-tho-quan/ban-100m2-tai-dong-da-ha-noi-pr42575831","20 m"
"300 m²",,,,"34,8 tỷ",,,,,,"https://batdongsan.com.vn/ban-nha-mat-pho-duong-nguyen-van-nghi-phuong-7-10/chinh-chu-ban-gap-mt-p7-gv-dt-10x30m-cap-4-hdt-100tr-th-gia-ban-34-8-ty-tl-pr41864616",
"96 m²",,,"6 m","33,6 tỷ","Đầy đủ","Sổ đỏ/ Sổ hồng","4 phòng",,"5 tầng","https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-70-2-phuong-dai-mo-prj-louis-city/ban-tai-du-an-louisll-nam-tu-liem-dt-96m2-5t-mt6m-gia-33-6-ty-pr42560572",
"90 m²",,,,"Thỏa thuận",,"Sổ đỏ/ Sổ hồng.",,,,"https://batdongsan.com.vn/ban-dat-nen-du-an-duong-nguyen-van-bua-xa-xuan-thoi-son-prj-eco-town/can-ban-lo-kdc-hoc-mon-hcm-gia-2-1ty-90m2-shr-pr41353967",
"83 m²",,,,"3,2 tỷ","Cơ bản","Sổ đỏ/ Sổ hồng","3 phòng","2 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-au-co-phuong-tan-thanh-prj-au-co-tower/ban-3pn-2pt-tai-gia-3-2-ty-vnd-dien-tich-83m2-pr41490848",
"56,66 m²",,,,"3,6 tỷ","Đầy đủ","Sổ đỏ/ Sổ hồng","2 phòng","1 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-pham-van-nghi-phuong-tan-phong-9-prj-sky-garden-3/-tien-ban-gap-pmh-q7-nha-dep-don-vao-o-ngay-lh-pr41360341",
"90 m²",,,"5,1 m","Thỏa thuận",,"Sổ đỏ/ Sổ hồng",,,,"https://batdongsan.com.vn/ban-dat-duong-dai-bi-xa-uy-no/90m-truc-kinh-doanh-dong-anh-ha-i-pr42554827","6 m"
"160 m²",,"Đông","10 m","33,5 tỷ",,"Sổ đỏ/ Sổ hồng",,,,"https://batdongsan.com.vn/ban-dat-duong-an-thuong-1-phuong-my-an/cap-duy-nhat-nam-trong-pho-di-bo-1-dien-tich-160m-gia-tot-caach-bien-50m-pr42575727","5,5 m"
"100 m²",,,,"15 tỷ",,"Sổ hồng",,,"6 tầng","https://batdongsan.com.vn/ban-nha-mat-pho-duong-thong-nhat-phuong-11-8/chuyen-sang-my-o-chu-can-ban-mt-t-dt-5-5x25m-tret-5-lau-dct-45tr-th-gia-chi-15-5-ty-pr41966394",
"67,9 m²","Tây - Nam",,,"3,23 tỷ","Đầy đủ.","Sổ đỏ/ Sổ hồng","2 phòng","2 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-xa-da-ton-prj-the-sapphire-2-vinhomes-ocean-park/chinh-chu-ban-goc-2pn-1-2wc-view-sieu-dep-toa-s2-ty-lh-pr42408141",
"69,6 m²",,,"4 m","Thỏa thuận",,"Sổ đỏ/ Sổ hồng",,,,"https://batdongsan.com.vn/ban-dat-xa-uy-no/sieu-hoa-hau-dong-anh-thong-o-to-view-dau-gia-pr42531605","4 m"
"90 m²",,,"5 m","8,4 tỷ",,"Sổ đỏ/ Sổ hồng","4 phòng","4 phòng","1 tầng","https://batdongsan.com.vn/ban-nha-rieng-xa-ninh-hiep-1/vi-tri-dep-long-lanh-kinh-doanh-hoac-san-xuat-deu-ok-pr42575728",
"58 m²","Nam","Bắc",,"25 triệu/m²","Cơ bản","Sổ đỏ/ Sổ hồng","2 phòng","1 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-quoc-lo-1a-xa-my-yen-prj-destino-centro/nhan-booking-du-an-moi-lien-ke-tp-hcm-gia-chi-950tr-phap-ly-so-huu-lau-dai-pr40862044",
"390 m²",,,,"69 tỷ",,"Sổ đỏ/ Sổ hồng",,,,"https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-phuong-long-thanh-my-prj-vinhomes-grand-park/-390m2-vi-tri-vip-3-mat-tien-ngay-vinmec-vinschool-vin-wonder-park-pr42524913",
"100 m²",,,,"29 tỷ",,,,,"5 tầng","https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-so-3-phuong-10-8-prj-cityland-park-hills/ban-can-3-hoan-thien-co-thang-may-pr42575729","30 m"
"31 m²",,,"4 m","7,88 tỷ","Đầy đủ","Sổ đỏ/ Sổ hồng","4 phòng","4 phòng","6 tầng","https://batdongsan.com.vn/ban-nha-rieng-duong-xuan-dinh-phuong-xuan-dinh/cuc-hiem-lo-goc-moi-6-tang-day-du-noi-that-oto-cat-trong-gia-7-88-ty-pr42447127","7 m"
"150 m²",,,"5 m","1,46 tỷ",,"Sổ đỏ/ Sổ hồng",,,,"https://batdongsan.com.vn/ban-dat-duong-huynh-van-luy-phuong-tan-hiep/-nen-ngay-kdc-nam-uyen-giao-voi-kcn-nam-uyen-mo-rong-full-tho-cu-150m2-shr-san-pr42215427",
"35 m²",,,"3,3 m","4,95 tỷ","Đầy đủ","Sổ đỏ/ Sổ hồng","3 phòng","4 phòng","5 tầng","https://batdongsan.com.vn/ban-nha-rieng-phuong-phuc-loi/ban-5-tang-long-bien-33m2-pr42557048","2,5 m"
"217,5 m²",,,,"35 tỷ","Cơ bản",,,,"6 tầng","https://batdongsan.com.vn/ban-nha-mat-pho-duong-le-thi-cho-phuong-phu-thuan-3/ban-toa-chdv-ngay-chi-cuc-thue-q7-dang-thue-140tr-thang-pr41989423",
"92,2 m²",,,"5 m","Thỏa thuận",,"Sổ đỏ/ Sổ hồng",,,,"https://batdongsan.com.vn/ban-dat-xa-xuan-non/92m-duong-yen-dong-anh-duong-o-to-pr42559454",
"50 m²",,,,"3,2 tỷ",,"Sổ đỏ/ Sổ hồng",,,,"https://batdongsan.com.vn/ban-dat-duong-10-phuong-an-phu-dong-1/-5x10-ngay-cho-vuon-lai-sat-go-vap-gia-3-2-ty-so-chinh-chu-pr42301500","12 m"
"102 m²",,,"14 m","19 tỷ","Đầy đủ","Sổ đỏ/ Sổ hồng","4 phòng","5 phòng","4 tầng","https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-quoc-lo-13-phuong-hiep-binh-phuoc-prj-khu-do-thi-van-phuc-city/-pho-5x20m-hoan-thien-noi-that-cao-cap-hien-dai-gia-16ty500-co-thang-may-pr37859305","14 m"
"65,8 m²",,,,"3,21 tỷ","Đầy đủ","Sổ đỏ/ Sổ hồng","3 phòng","3 phòng","2 tầng","https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-van-dau-phuong-7-9/-ban-can-ngay-binh-thanh-gia-2-4-ty-65m2-so-hong-lh-pr42056397","8 m"
"50 m²",,,"4 m","3,4 tỷ",,"Sổ đỏ/ Sổ hồng",,,,"https://batdongsan.com.vn/ban-dat-duong-tinh-quang-phuong-giang-bien-1/-nen-dep-long-50m2-gia-hon-3ty-pr42310854","3 m"
"73 m²","Tây - Nam","Đông - Nam",,"5,5 tỷ","Đầy đủ","Sổ đỏ/ Sổ hồng","2 phòng","2 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-phu-do-prj-my-dinh-pearl/ban-2n2vs-tai-gia-thuong-luong-pr40897769",
"110 m²",,,"5 m","18,5 tỷ","Đầy đủ","Sổ đỏ/ Sổ hồng","5 phòng","6 phòng","4 tầng","https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-so-15-phuong-hiep-binh-phuoc-prj-khu-do-thi-van-phuc-city/kdt-5x22m-hoan-thien-co-thang-may-gia-17-ty-20m-thong-thoang-hong-rieng-pr40001823","20 m"
"99 m²",,,"5,3 m","Thỏa thuận",,"Sổ đỏ/ Sổ hồng",,,,"https://batdongsan.com.vn/ban-dat-xa-van-noi/cc-ban-99m-o-to-tranh-dong-anh-thap-tc-108-tang-smart-city-pr40988624",
"123 m²",,,,"52 tỷ",,,,,,"https://batdongsan.com.vn/ban-nha-mat-pho-duong-lac-long-quan-phuong-5-13/ban-toa-tien-5-11-dt-7-5x18m-ham-6-tang-gia-52-ty-pr42575844",
"69 m²","Đông - Nam","Tây - Bắc",,"6 tỷ","Đầy đủ - Nội thất đầy đủ, bao gồm: Điều hòa, tủ lạnh, giường...","Sổ đỏ/ Sổ hồng","2 phòng","2 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-dai-lo-thang-long-phuong-me-tri-prj-vinhomes-green-bay-me-tri/chinh-chu-ban-69m2-2pn-2wc-tai-g1-gia-6-ti-co-thuong-luong-c-khach-thien-chi-pr41431270",
"88 m²",,,,"4 tỷ","Cơ bản","Sổ đỏ/ Sổ hồng","3 phòng","2 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-khuong-viet-phuong-phu-trung-prj-chung-cu-khuong-viet/chinh-chu-ban-ch-88m2-3pn-2wc-ntcb-gia-4-ty-pr42575657",
"55,1 m²","Bắc","Bắc","3,3 m","3,19 tỷ","Đầy đủ","Sổ đỏ/ Sổ hồng","3 phòng","2 phòng","3 tầng","https://batdongsan.com.vn/ban-nha-rieng-duong-hai-phong-phuong-hai-chau_1/-2-5-tang-kiet-300-hua-hen-1-sieu-pham-cuc-dep-pr42532433",
"81 m²",,,,"6,5 tỷ",,"Hợp đồng mua bán","2 phòng","2 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-ben-van-don-phuong-12-prj-saigon-royal-residence/ban-nhanh-goc-81m-noi-that-sieu-dep-ban-cong-rong-gia-6-5-ty-bao-het-pr41057715",
"96 m²",,,,"4,9 tỷ",,,"3 phòng","2 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-nhan-chinh-prj-chung-cu-golden-west/chi-5-2-ty-ban-gap-3-ngu-tai-full-do-view-thanh-p-dep-tro-vay-bank-70-pr41727995",
"30 m²",,,,"8,26 tỷ",,,,,,"https://batdongsan.com.vn/ban-nha-rieng-phuong-o-cho-dua/-2-thang-thang-may-nhap-khau-full-ni-that-sung-6-tang-trung-tam-dng-da-t-cach-pr42575658",
"74 m²","Tây","Tây","4,5 m","9,9 tỷ","Đầy đủ","Sổ đỏ/ Sổ hồng","3 phòng","5 phòng","3 tầng","https://batdongsan.com.vn/ban-nha-mat-pho-duong-luong-nhu-hoc-phuong-hoa-cuong-nam/gia-sap-ham-9-9ty-thuong-tien-7m5-3-tang-1-tum-3-phong-pr42566739","7,5 m"
"112 m²",,,,"3,75 tỷ","Đầy đủ","Sổ đỏ/ Sổ hồng","3 phòng","2 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-lien-phuong-phuong-phu-huu-2-prj-the-eastern/-ban-goc-112m2-co-ban-cong-noi-that-dep-gia-3ty250-pr39955399",
"500 m²",,,,"70 tỷ",,,,,,"https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-phuong-long-thanh-my-prj-vinhomes-grand-park/chi-3-can-mat-song-so-huu-ben-du-yen-rieng-gia-truc-tiep-chu-dau-tu-vinhomes-pr39381466",
"87 m²",,,,"6,6 tỷ","Đầy đủ nội thất.","Sổ hồng","3 phòng","2 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-ben-van-don-phuong-12-prj-icon-56/chu-ban-3-phong-ngu-icon56-quan-4-87m2-day-du-noi-that-gia-chi-5ty950-pr40865279",
"239 m²","Đông - Bắc","Đông - Nam",,"72 tỷ",,"Sổ đỏ/ Sổ hồng",,,"5 tầng","https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-kinh-do-xa-long-hung-prj-the-empire-vinhomes-ocean-park-2/c-quyen-can-goc-01-i-dien-tttm-vincom-mega-mall-city-pr42335473","20 m"
"100 m²",,,"5 m","1,4 tỷ",,"Sổ đỏ/ Sổ hồng.",,,,"https://batdongsan.com.vn/ban-dat-duong-rung-sac-xa-binh-khanh-1/-nen-sieu-hot-can-gio-1-4-ty-100m2-tho-cu-100-xay-tu-do-pr42503507","6 m"
"63 m²","Bắc","Nam",,"2,6 tỷ",,"Sổ đỏ/ Sổ hồng","2 phòng","2 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-lien-phuong-phuong-phu-huu-2-prj-sky-9/ban-2pn-2wc-9-tang-lai-noi-that-gia-chi-1ty950-pr39346781",
"120 m²",,"Bắc","5 m","750 triệu",,"Sổ đỏ/ Sổ hồng",,,,"https://batdongsan.com.vn/ban-dat-duong-pham-ngoc-thach-thi-tran-thanh-my-2/chi-voi-750tr-cho-lo-cach-nhua-chinh-don-lam-dong-pr42403322","7 m"
"95 m²",,,,"45 tỷ",,,,,,"https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-phuong-an-phu-prj-the-global-city/ban-sieu-lo-lk1-khu-doi-dien-cong-vien-nhac-nuoc-gia-45-ty-dt-95m2-pr42283186",
"33 m²",,,"6,2 m","7,69 tỷ",,"Sổ đỏ/ Sổ hồng","3 phòng","4 phòng","5 tầng","https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-quy-duc-phuong-thanh-xuan-bac/hiem-co-kho-tim-oto-do-cua-5-tang-view-sieu-xin-7-7-ty-pr42549984","4 m"
"89 m²",,,,"6,9 tỷ","Đầy đủ","Sổ đỏ/ Sổ hồng","2 phòng","2 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-dien-bien-phu-phuong-22-prj-vinhomes-central-park/ban-vinmes-53-7m2-1pn-toa-landmark-6-view-truc-song-pr29013739",
"123,7 m²",,,,"10 tỷ","Đầy đủ","Sổ đỏ/ Sổ hồng","3 phòng","2 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-dien-bien-phu-phuong-22-prj-vinhomes-central-park/ban-vinmes-123-7m2-3pn-toa-6-view-cong-vien-pr29027410",
"77 m²",,,,"46 triệu/m²",,"Sổ đỏ/ Sổ hồng","2 phòng","2 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-huu-nghi-phuong-binh-hoa-prj-the-habitat-binh-duong/dau-tu-ngay-m-nay-sinh-loi-ngay-mai-chi-tu-46-trieu-m-so-gd3-pr42575503",
"80 m²",,,,"6,9 tỷ",,,"2 phòng","2 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-minh-khai-phuong-minh-khai-prj-hinode-city/ban-gap-2-ngu-80m2-full-do-dep-view-thoang-mat-gia-re-nhat-thi-truong-chi-6-5-ty-pr41718929",
"180 m²",,,,"31,9 tỷ",,,,,,"https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-nguyen-xien-phuong-long-thanh-my-prj-the-manhattan-vinhomes-grand-park/hang-hiem-180m2-can-goc-truc-m1-gia-31-9-ty-ngay-cong-vao-vinwonder-hang-doc-quyen-pr42508760",
"72 m²","Đông - Bắc","Đông",,"3,5 tỷ","Đầy đủ","Sổ đỏ/ Sổ hồng","2 phòng","2 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-vo-van-kiet-phuong-an-lac-6-prj-akari-city-nam-long/ban-binh-tan-70m2-2pn-2wc-full-noi-that-gia-3ty5-lh-a-loc-phat-pr42573653",
"390 m²",,,,"74,5 tỷ",,,,,,"https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-nguyen-xien-phuong-long-binh-3-prj-the-manhattan-glory-vinhomes-grand-park/bt-doc-ban-trong-khu-compound-390m2-gia-74-5-ty-mat-song-hang-sieu-hiem-pr42326820",
"132 m²",,,,"12 tỷ",,,"4 phòng","2 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-minh-khai-phuong-minh-khai-prj-hinode-city/sieu-hiem-ban-4-ngu-tai-dt-132m2-full-noi-that-view-dep-gia-12-ty-so-do-san-pr42488375",
"90 m²",,,,"17 tỷ","Đầy đủ","Sổ đỏ/ Sổ hồng","4 phòng","5 phòng","5 tầng","https://batdongsan.com.vn/ban-nha-rieng-duong-mai-dong-phuong-mai-dong-1/-5-tang-90m-phan-lo-vip-o-to-do-cua-gia-cuc-mem-pr42575665","8 m"
"250 m²",,"Đông - Nam","15,5 m","Thỏa thuận",,"Sổ đỏ/ Sổ hồng","5 phòng","3 phòng","3 tầng","https://batdongsan.com.vn/ban-nha-mat-pho-phuong-mo-lao-prj-lang-viet-kieu-chau-au-euroland/cap-nhat-danh-sach-biet-thu-lien-ke-ha-dong-ban-pr37160735","25 m"
"45 m²",,,,"12,9 tỷ",,,,,,"https://batdongsan.com.vn/ban-nha-rieng-phuong-van-mieu-quoc-tu-giam/ban-phan-lo-o-to-tranh-vua-o-vua-kinh-doanh-vai-buoc-len-hoan-kiem-pr42570312",
"84 m²",,"Đông","4 m","15 tỷ",,"Sổ đỏ/ Sổ hồng",,,"2 tầng","https://batdongsan.com.vn/ban-nha-mat-pho-duong-vanh-dai-trong-phuong-binh-tri-dong-b/an-mt-khu-ten-lua-p-dt-4x21-2-5-tam-gia-14-ty-pr41542044",
"60 m²","Đông - Nam","Đông - Nam","6 m","6,79 tỷ","Đầy đủ","Sổ đỏ/ Sổ hồng","3 phòng","4 phòng","3 tầng","https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-huynh-tan-phat-thi-tran-nha-be/ban-pho-hien-dai-kdc-sai-gon-moi-the-sun-be-pr42575666","10 m"
"180 m²",,,"10 m","26 tỷ",,,,,,"https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-nguyen-xien-phuong-long-binh-3-prj-the-manhattan-glory-vinhomes-grand-park/ban-gap-180m2-gia-26-ty-full-noi-that-co-thang-may-truc-thong-pr42331860",
