"Diện tích","Hướng ban công","Hướng nhà","Mặt tiền","Mức giá","Nội thất","Pháp lý","Số phòng ngủ","Số phòng tắm, vệ sinh","Số tầng","url","Đường vào"
"135 m²","Đông - Bắc","Tây - Nam",,"9,5 tỷ","Đầy đủ","Sổ đỏ/ Sổ hồng","3 phòng","2 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-pham-van-bach-phuong-yen-hoa-2-prj-golden-park-tower/chinh-chu-ban-3-ngu-dt-135m2-gia-chi-9-5-ty-vnd-tai-cau-giay-ha-noi-pr41166431",
"50 m²","Tây - Nam","Đông - Bắc",,"3,6 tỷ",,,"1 phòng","1 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-to-huu-phuong-trung-van-prj-ecolife-capitol/ban-1-ngu-50m2-gia-tot-3-5-ty-thanh-pr42460800",
"42 m²",,,"5,5 m","3,8 tỷ",,"Sổ đỏ/ Sổ hồng","6 phòng",,"4 tầng","https://batdongsan.com.vn/ban-nha-rieng-pho-bach-mai-phuong-cau-den/ban-ngo-quynh-42m-lo-goc-2-mat-thoang-ngo-thong-gan-o-to-gia-chi-3-8-ty-pr41689445",
"80,1 m²",,,"5 m","15 tỷ","Đầy đủ","Sổ đỏ/ Sổ hồng.","4 phòng","4 phòng","3 tầng","https://batdongsan.com.vn/ban-nha-rieng-duong-le-van-sy-phuong-1-23/ban-hxh-khu-biet-thu-dt-5x20m-tret-2-lau-st-gia-15-ty-tl-pr40906325","5 m"
"80 m²",,,,"8,3 tỷ","Đầy đủ","Hợp đồng mua bán","2 phòng","2 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-tan-phu-19-prj-the-signature/chu-nha-thien-chi-ban-nhanh-midtown-m7-81m2-lau-cao-o-xe-ham-gia-chi-8-3-ty-pr42567498",
"125 m²",,,,"27,5 tỷ",,,,,,"https://batdongsan.com.vn/ban-dat-xa-duong-to/nhanh-tay-so-huu-dep-gia-sieu-hoi-pr42567713",
"198 m²","Đông - Nam","Tây - Bắc",,"11 tỷ","Đầy đủ","Sổ đỏ/ Sổ hồng","3 phòng","3 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-pho-tran-binh-phuong-my-dinh-2-prj-dolphin-plaza/chinh-chu-ban-3-ngu-dt-198m2-gia-7-ty-day-du-noi-that-sang-trong-pr37889863",
"40 m²",,,"3,5 m","5,65 tỷ","Đầy đủ","Sổ đỏ/ Sổ hồng","2 phòng","2 phòng","2 tầng","https://batdongsan.com.vn/ban-nha-rieng-duong-dai-mo-phuong-dai-mo/5x-ty-dat-nam-tu-liem-dau-tu-tang-gia-tuong-lai-dang-cho-thue-co-dong-tien-pr42551846","3 m"
"80 m²",,,,"1,3 tỷ",,"Sổ đỏ/ Sổ hồng",,,,"https://batdongsan.com.vn/ban-dat-xa-nhon-ly/can-ban-cac-nen-ven-bien-thanh-pho-quy-dien-tich-da-dang-gia-chi-18-trieu-m2-pr30845661",
"240 m²",,,"10 m","110 tỷ","Cơ bản","Sổ đỏ/ Sổ hồng",,,"9 tầng","https://batdongsan.com.vn/ban-nha-rieng-pho-hoang-cau-phuong-trung-liet/ban-toa-dong-da-240m-9-tang-thang-may-xin-view-ho-lh-pr42567501","12 m"
"52 m²","Nam","Bắc",,"3,15 tỷ","Đầy đủ","Sổ đỏ/ Sổ hồng","2 phòng","1 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-xa-xuan-quan-prj-sol-forest-ecopark/ban-cc-2pn-1wc-tai-3-15-ty-52m2-huong-bac-ban-cong-nam-pr42454105",
"115 m²","Đông - Bắc","Tây - Nam",,"6,5 tỷ","Đầy đủ","Sổ đỏ/ Sổ hồng","4 phòng","2 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-pho-tran-binh-phuong-my-dinh-2-prj-the-garden-hills-99-tran-binh/chinh-chu-ban-goc-4-ngu-hill-99-dt-115m2-gia-5-2-ty-day-du-noi-that-pr40039052",
"101 m²",,,,"8,1 tỷ","Đầy đủ","Sổ đỏ/ Sổ hồng","3 phòng","2 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-ton-dat-tien-phuong-tan-phu-19-prj-scenic-valley-1/ban-gap-1-101m2-3pn-2vs-full-noi-that-nha-dep-co-o-xe-gia-chi-8-1-ty-pr42558792",
"30 m²",,,,"6,4 tỷ","Cơ bản","Sổ đỏ/ Sổ hồng","4 phòng","4 phòng","6 tầng","https://batdongsan.com.vn/ban-nha-rieng-duong-da-sy-phuong-kien-hung/-dep-vi-tri-thuan-loi-sieu-hiem-gia-lai-hat-re-6-tang-nhinh-6-dong-pr42539911",
"35 m²",,,"3,5 m","67 triệu/m²",,"Sổ đỏ/ Sổ hồng",,,,"https://batdongsan.com.vn/ban-dat-duong-tay-mo-phuong-tay-mo/gia-sieu-dau-tu-67-tr-m2-hang-xom-vinhome-smartcity-10m-ra-o-to-tranh-dt-35m-pr42500404","2,5 m"
"96 m²",,"Đông",,"16,23 tỷ",,,,,"5 tầng","https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-phuong-duong-quan-prj-hoang-huy-new-city/-llen-96m-5-tang-huong-bac-dtxd-403m-gia-ban-16-230-ty-pr42567716",
"55 m²",,,,"6,3 tỷ","Đầy đủ","Sổ đỏ/ Sổ hồng","1 phòng","1 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-mai-chi-tho-phuong-an-phu-prj-eaton-park/hot-hot-ro-hang-ck-10-dot-1-cua-cs-tot-5-ky-hdmb-thanh-toan-gian-den-khi-nhan-nha-pr40213995",
"62 m²",,"Đông - Nam","5,5 m","860 triệu",,"Công chứng vi bằng.",,,,"https://batdongsan.com.vn/ban-dat-duong-bac-lan-1-xa-ba-diem/n-trong-khu-biet-thu-1-hoc-mon-dt-5-3x12-cong-chung-vi-ng-pr35651738","3 m"
"91,8 m²",,,,"12,5 tỷ",,"Sổ đỏ/ Sổ hồng","6 phòng","6 phòng",,"https://batdongsan.com.vn/ban-nha-rieng-duong-bach-dang-phuong-2-22/chinh-chu-ban-tan-binh-2-tan-binh-90m2-xay-chdv-pr39780401",
"50 m²",,,"5 m","11,5 tỷ",,"Sổ đỏ/ Sổ hồng","1 phòng","1 phòng",,"https://batdongsan.com.vn/ban-nha-rieng-phuong-la-khe/manh-dat-vang-doc-bun-1-van-ha-dong-oto-tranh-kinh-doanh-cho-thue-van-phong-pr42214837","8 m"
"151 m²",,,,"14 tỷ","Đầy đủ","Sổ đỏ/ Sổ hồng","3 phòng","3 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-ton-dat-tien-phuong-tan-phu-19-prj-scenic-valley-1/ban-nhanh-151m2-3pn-full-noi-that-cao-cap-luxury-moi-100-gia-tot-15-5-ty-pr42353731",
"1.112 m²",,,"13 m","158 triệu/m²",,"Sổ đỏ/ Sổ hồng",,,"3 tầng","https://batdongsan.com.vn/ban-nha-mat-pho-pho-vu-tong-phan-phuong-khuong-dinh/can-ban-gia-chi-158-trieu-m-tai-thanh-xuan-ha-noi-pr41217411","20 m"
"101 m²","Đông - Nam","Tây - Bắc",,"6 tỷ","Đầy đủ.","Sổ đỏ/ Sổ hồng","3 phòng","2 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-to-huu-phuong-dai-mo-prj-roman-plaza/chinh-chu-ban-3-ngu-dien-tich-101m2-gia-3-ty-900-full-noi-that-pr38038903",
"76 m²",,,,"6 tỷ","Đầy đủ","Sổ đỏ/ Sổ hồng","1 phòng","2 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-lac-long-quan-phuong-phu-thuong-1-prj-pentstudio/chi-6-ty-nha-full-noi-that-so-do-chinh-chu-pr42330727",
"59,48 m²",,,,"13 tỷ",,"Sổ hồng","3 phòng","3 phòng","2 tầng","https://batdongsan.com.vn/ban-nha-rieng-duong-le-van-sy-phuong-13-1/ban-hem-nhua-339-p14-q3-dt-5-2x12m-gia-13-ty-pr41933861","8 m"
"76 m²","Đông - Bắc","Tây - Nam",,"4,5 tỷ","Đầy đủ - Nội thất đầy đủ, sẵn sàng cho cuộc sống mới.","Sổ đỏ/ Sổ hồng.","2 phòng","2 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-to-huu-phuong-trung-van-prj-ecolife-capitol/chinh-chu-ban-2-ngu-capil-gia-4-5-ty-dt-76m2-day-du-do-pr41205035",
"72,1 m²","Tây - Bắc","Tây - Bắc","4,1 m","5,45 tỷ",,"Sổ đỏ/ Sổ hồng",,,,"https://batdongsan.com.vn/ban-nha-mat-pho-duong-ha-huy-tap-phuong-an-khe/ban-dat-tang-72m2-tien-10m5-quan-tnh-gia-5-5-ty-pr42449230","10,5 m"
"100 m²","Đông - Bắc",,,"3,6 tỷ","Cơ bản","Sổ đỏ/ Sổ hồng","3 phòng","2 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-kha-van-can-phuong-an-binh-prj-opal-boulevard/chinh-chu-ban-gia-goc-3-6-ty-3pn-2wc-rong-100m2-nha-moi-co-ban-tai-boulevard-pr42432230",
"78 m²","Đông - Nam","Tây - Bắc",,"4,9 tỷ","Đầy đủ","Sổ đỏ/ Sổ hồng","2 phòng","2 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-pho-cau-am-phuong-van-phuc-1-prj-goldsilk-complex/ban-gap-sdcc-78m2-2pn-2wc-gia-3-ty-450-trieu-chap-nhan-tl-mien-qc-pr39934905",
"65 m²",,,"4,5 m","10 tỷ",,"Sổ đỏ/ Sổ hồng",,,,"https://batdongsan.com.vn/ban-dat-duong-bat-khoi-phuong-thach-ban-1/-truc-chinh-kinh-doanh-65m-mat-tien-4-5m-6m-10ty-pr42567563","6 m"
"96 m²",,,"8 m","16 tỷ",,"Sổ đỏ/ Sổ hồng","4 phòng","4 phòng","4 tầng","https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-tan-hoi-7-prj-vinhomes-wonder-city/ban-dan-phuong-cach-ho-tay-15-phut-gia-tu-1x-ty-pr42419695",
"84 m²","Đông - Nam","Tây - Bắc",,"4,5 tỷ","Đầy đủ","Sổ đỏ/ Sổ hồng","2 phòng","2 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-to-huu-phuong-trung-van-prj-c37-bo-cong-an-bac-ha-tower/chinh-chu-b-2-ngu-gia-4-9-ty-du-wer-dt-84m2-day-du-do-pr41204328",
"83,4 m²",,,,"3,29 tỷ","Cơ bản","Sổ đỏ/ Sổ hồng","3 phòng","2 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-truong-phuoc-phan-phuong-binh-tri-dong-prj-hoang-kim-the-gia-the-golden-dynasty/-ban-31-q-tan-hcm-pr41529039",
"1.580 m²",,,"11 m","360 triệu",,"Sổ đỏ/ Sổ hồng",,,,"https://batdongsan.com.vn/ban-dat-duong-dt-685-xa-hung-binh-1/chinh-chu-ban-gap-lo-sat-ho-gia-cuc-re-chi-360tr-1-580m2-cach-dt685-100m-pr41775000","4 m"
"184 m²",,,,"2,5 tỷ",,"Sổ sẵn.",,,,"https://batdongsan.com.vn/ban-dat-nen-du-an-duong-dt-769-xa-loc-an-3-prj-khu-tai-dinh-cu-d2d/hang-hiem-1-lo-duy-nhat-184m2-ngay-kdc-tren-dt769-ket-noi-thang-san-bay-chot-2-5-ty-pr42385739",
"62 m²",,,,"7,9 tỷ",,"Sổ đỏ/ Sổ hồng","1 phòng","1 phòng","2 tầng","https://batdongsan.com.vn/ban-nha-rieng-duong-3-2-2-phuong-11-5/-chinh-chu-1-doi-hem-1-3-2-5-2x13-62m2-2tang-nhinh-7ty-pr42460266","3,5 m"
"105 m²",,,,"6,3 tỷ",,"Hợp đồng mua bán",,,,"https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-thi-tran-long-thanh-3-prj-khu-do-thi-id-junction/-song-lap-zone-2-he-pr42567510",
"80 m²",,,,"3,2 tỷ",,,"2 phòng","1 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-hai-chau_1/nhan-booking-50tr-ttc-plaza-da-nang-aeon-mall-ck-10-tang-20tr-chiet-khau-mua-si-pr42567728",
"69 m²",,,"4,5 m","15,8 tỷ","Đầy đủ","Sổ đỏ/ Sổ hồng","6 phòng","6 phòng","4 tầng","https://batdongsan.com.vn/ban-nha-rieng-duong-cau-giay-phuong-quan-hoa/15-ty-nhinh-pho-69m2-x-4-tang-mt-4-5m-15-8-ty-cac-bac-nhanh-tay-a-pr42567400",
"360 m²",,,"10 m","92,5 tỷ","Đầy đủ","Sổ đỏ/ Sổ hồng","100 phòng",,"8 tầng","https://batdongsan.com.vn/ban-nha-mat-pho-duong-so-53-phuong-tan-quy/ban-toa-ngay-nguyen-thi-thap-p-quan-7-100-phong-chdv-tn-559tr-th-gia-92-ty-pr41783192",
"47 m²",,"Nam","4 m","68 triệu/m²",,"Sổ đỏ/ Sổ hồng",,,,"https://batdongsan.com.vn/ban-dat-xa-bich-hoa/chinh-chu-gui-ban-1-so-lo-thanh-oai-pr41015693","23 m"
"64,5 m²",,"Đông",,"11,5 tỷ",,"Sổ đỏ/ Sổ hồng",,,,"https://batdongsan.com.vn/ban-nha-rieng-duong-thanh-thai-phuong-14-5/chinh-chu-can-ban-hem-6m-7b-q10-dt-3-3x18-hdt-15tr-thang-gia-ban-11-5-ty-lh-pr42567511",
"67 m²",,,,"3,1 tỷ","Cơ bản","Hợp đồng mua bán","2 phòng","2 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-dao-tri-phuong-phu-thuan-3-prj-q7-saigon-riverside/ban-2pn-67m2-gia-3-1-ty-tai-hcm-pr42167314",
"120 m²","Tây","Tây","8,6 m","42 tỷ","Cơ bản","Sổ đỏ/ Sổ hồng","6 phòng","8 phòng","5 tầng","https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-tran-van-du-phuong-13-10/-3-mat-tien-sieu-pham-dang-cap-ngay-san-bay-tan-son-nhat-pr42209741",
"755 m²","Đông - Nam","Đông - Nam","14 m","3,5 tỷ","Đầy đủ","Sổ đỏ/ Sổ hồng","2 phòng","2 phòng","1 tầng","https://batdongsan.com.vn/ban-trang-trai-khu-nghi-duong-duong-thong-nhat-phuong-tan-an-12/c-tien-b-c-nha-vuon-g-800m2-tx-lagi-pr42567513","8 m"
"96 m²",,,,"Thỏa thuận",,"Sổ đỏ/ Sổ hồng",,,,"https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-tan-hoi-7-prj-vinhomes-wonder-city/so-huu-can-8m-mat-tien-chi-voi-so-von-5-ty-tai-dan-phuong-dai-lo-tay-thang-long-pr42468907",
"34 m²",,,,"5,5 tỷ",,"Sổ đỏ/ Sổ hồng","2 phòng","1 phòng","2 tầng","https://batdongsan.com.vn/ban-nha-rieng-duong-3-2-2-phuong-8-10/-lau-nam-so-dep-3-2-3x12-34-40m2-2tang-nhich-5ty-pr42466502",
"48 m²",,,"3,55 m","17,5 tỷ",,"Sổ đỏ/ Sổ hồng","4 phòng","4 phòng","4 tầng","https://batdongsan.com.vn/ban-nha-rieng-pho-tran-dai-nghia-phuong-truong-dinh/xe-bagac-vao-gan-o-to-h-ngo-cho-dong-tam-315-48m2-x-4t-17-5-ty-pr42417135","10 m"
"79 m²",,,,"11,5 tỷ",,"Sổ đỏ/ Sổ hồng.","4 phòng","4 phòng","4 tầng","https://batdongsan.com.vn/ban-nha-mat-pho-duong-so-9-phuong-phuoc-binh-1/ban-gap-1-tret-3-lau-tien-9-p-79-m2-pr42137126",
"157 m²","Đông","Đông","7,1 m","92 tỷ","Cơ bản","Sổ đỏ/ Sổ hồng","2 phòng","2 phòng","1 tầng","https://batdongsan.com.vn/ban-nha-mat-pho-duong-nguyen-binh-khiem-phuong-le-dai-hanh/ban-dt-157m2-mt-7-1m-hau-7-32m-phu-hop-xay-toa-lh-pr42370173","17 m"
"243 m²",,"Nam","12,45 m","56 tỷ",,"Sổ đỏ/ Sổ hồng",,,,"https://batdongsan.com.vn/ban-nha-mat-pho-duong-hon-chong_1-phuong-vinh-phuoc/ban-lo-dat-cg-tp-trang-dt-243m2-tien-rong-12-45-met-pr42567310","20 m"
"60 m²",,,,"2,56 tỷ",,"Sổ đỏ/ Sổ hồng","2 phòng","1 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-xa-duong-xa-prj-vinhomes-ocean-park-gia-lam/cat-lo-200-tr-ban-2n1vs-chi-2-560-tr-tang-do-tai-lh-pr42522501",
"50 m²",,,"4 m","5 tỷ",,"Sổ đỏ/ Sổ hồng","5 phòng","5 phòng","4 tầng","https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-van-qua-phuong-dong-hung-thuan-a/ban-4-lau-4x13m-hxh-1152-p-dht-q12-re-5-ty-pr42486382","12 m"
"100 m²",,,"10 m","22 tỷ",,"Sổ đỏ/ Sổ hồng",,,"5 tầng","https://batdongsan.com.vn/ban-nha-mat-pho-duong-su-van-hanh-phuong-12-5/duy-nhat-sieu-pham-mt-ngay-ngang-lon-10m-kc-5-tang-hdt-250tr-gia-22-ty-pr42233752",
"81,3 m²",,,,"9,7 tỷ",,"Sổ đỏ/ Sổ hồng",,,,"https://batdongsan.com.vn/ban-dat-duong-so-2-phuong-thanh-my-loi/ban-lo-81-3m2-7-11x11-45-hem-xe-hoi-1-sec-thang-ra-mat-tien-d-2-p-quan-2-pr42567517",
"64 m²",,,"16 m","8,3 tỷ",,"Sổ đỏ/ Sổ hồng","2 phòng","2 phòng","2 tầng","https://batdongsan.com.vn/ban-nha-mat-pho-duong-duong-van-duong-phuong-tan-quy-2/ban-tien-dep-dt-4x16m-no-hau-4-1m-1-lau-gia-8-3-ty-thuong-luong-pr42567734",
"80 m²",,,,"3,75 tỷ","Đầy đủ","Sổ đỏ/ Sổ hồng","3 phòng","2 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-xa-duong-xa-prj-vinhomes-ocean-park-gia-lam/-tien-ban-gap-3n2vs-3-750-tr-full-do-tang-trung-view-thoang-dep-tai-vhop-lh-pr42538177",
"280 m²",,,"10 m","7,8 tỷ",,"Sổ đỏ/ Sổ hồng",,,,"https://batdongsan.com.vn/ban-dat-duong-tan-thoi-nhi-16-xa-tan-thoi-nhi/-10-28m-mat-tien-16-gan-nga-ba-hong-chau-ql22-pr42567518","12 m"
"33 m²",,,,"3,5 tỷ",,"Sổ đỏ/ Sổ hồng","2 phòng","2 phòng","2 tầng","https://batdongsan.com.vn/ban-nha-rieng-duong-cach-mang-thang-tam-phuong-10-3/-lau-nam-8-33m2-nhich-3ty-pr42356357",
"42 m²",,,"3,7 m","6,8 tỷ",,"Sổ đỏ/ Sổ hồng","3 phòng","3 phòng","3 tầng","https://batdongsan.com.vn/ban-nha-rieng-duong-de-la-thanh_1-phuong-phuong-lien/-moi-p-full-noi-that-thanh-xa-dan-dong-da-42m2-3t-gan-pho-chi-6-8-ty-pr42403696",
"90 m²","Bắc","Bắc","5 m","16,2 tỷ","Đầy đủ","Sổ đỏ/ Sổ hồng","4 phòng","5 phòng","4 tầng","https://batdongsan.com.vn/ban-nha-rieng-duong-pham-huu-lau-phuong-phu-my-9/ban-tai-quan-7-ho-chi-minh-dien-tich-90m2-gia-16-2-ty-pr40891032","14 m"
"161,7 m²",,,,"34,7 tỷ",,,,,,"https://batdongsan.com.vn/ban-dat-xa-duong-to/-nen-ngay-mat-tien-30-4-noi-dai-pr42567737",
"80 m²",,,"4,2 m","Thỏa thuận",,"Sổ đỏ/ Sổ hồng",,,,"https://batdongsan.com.vn/ban-dat-duong-bat-khoi-phuong-thach-ban-1/-oto-thong-gan-co-linh-aoen-pr42497370","4 m"
"38 m²",,,,"5,2 tỷ",,"Sổ đỏ/ Sổ hồng","4 phòng","3 phòng","4 tầng","https://batdongsan.com.vn/ban-nha-rieng-duong-co-nhue-phuong-co-nhue-2/khong-can-thu-2-vua-dep-vua-re-pr42567522",
"80 m²",,,,"3,65 tỷ","Đầy đủ","Sổ đỏ/ Sổ hồng","3 phòng","2 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-xa-duong-xa-prj-vinhomes-ocean-park-gia-lam/chinh-chu-gui-ban-3pn2vs-dien-tich-80m2-chi-voi-3-65-ty-tai-vinmes-park-pr42532734",
"130 m²",,,,"50 tỷ",,"Sổ đỏ/ Sổ hồng",,,"5 tầng","https://batdongsan.com.vn/ban-nha-mat-pho-duong-bui-vien-phuong-pham-ngu-lao-1/ngop-bank-ha-them-10-ty-mt-7-5x18m-xd-5-tang-hdt-320tr-gia-ve-50-ty-tl-pr42255222",
"330 m²",,,"12 m","180 tỷ","Cơ bản","Sổ đỏ/ Sổ hồng","5 phòng","5 phòng","4 tầng","https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-phuong-xuan-la-prj-kdt-tay-ho-tay-starlake-ha-noi/-don-lap-khu-k-330m2-4-tang-180-ty-dinh-cao-cua-su-tinh-hoa-pr42314166","15 m"
"98 m²",,"Đông - Nam","4,8 m","27,5 triệu/m²",,"Sổ đỏ/ Sổ hồng",,,,"https://batdongsan.com.vn/ban-dat-xa-minh-phu-1/thanh-khoan-lo-dep-thanh-tri-soc-son-pr42567524","5 m"
"80 m²","Tây","Tây","5 m","8,5 tỷ","Đầy đủ","Sổ đỏ/ Sổ hồng","4 phòng","6 phòng","3 tầng","https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-huynh-tan-phat-xa-phu-xuan-prj-green-riverside/ban-kdc-be-dt-5x16m-gom-3-lau-gia-8-5-ty-thuong-luong-pr41930396","7 m"
"55 m²",,,,"20,1 tỷ","Đầy đủ","Sổ đỏ/ Sổ hồng","6 phòng",,"5 tầng","https://batdongsan.com.vn/ban-nha-rieng-duong-huy-du-phuong-cau-dien/ban-lien-ke-vip-via-he-xe-16-cho-quay-dau-55m-thang-may-dep-long-lanh-20-1-ty-pr42561587",
"54 m²",,,,"7,05 tỷ",,,,,,"https://batdongsan.com.vn/ban-dat-duong-dai-cat-phuong-lien-mac/hot-7-05-ty-bac-tu-liem-lo-goc-7-cho-vao-gan-vinhome-dan-gan-avenue-gard-pr42541465",
"180 m²",,,,"65 tỷ","Đầy đủ","Sổ đỏ/ Sổ hồng",,,"9 tầng","https://batdongsan.com.vn/ban-nha-mat-pho-duong-3-2-2-phuong-11-5/re-t-ban-mt-3-2-quan-10-dt-6-x-29-cn-180m2-ham-9-tang-hdt-350tr-gia-65-ty-tl-pr40469989",
"125 m²",,,"5 m","630 triệu",,"Sổ đỏ/ Sổ hồng",,,,"https://batdongsan.com.vn/ban-dat-duong-dt-609-xa-dien-hong-2/ban-lo-truc-chinh-ban-t-thang-ra-609-cho-lac-thanh-pr42567627","5,5 m"
"300 m²",,,,"52 tỷ",,"Sổ đỏ/ Sổ hồng",,,"10 tầng","https://batdongsan.com.vn/ban-nha-mat-pho-duong-truong-son-phuong-2-22/ban-toa-building-tien-dt-10-x-30m-ham-10-lau-gia-52-ty-tl-hdt-148tr-thang-pr41910960",
"21 m²",,,,"3,28 tỷ","Cơ bản","Sổ đỏ/ Sổ hồng","2 phòng","1 phòng",,"https://batdongsan.com.vn/ban-nha-rieng-duong-phong-phu-phuong-12-4/ban-hem-100-p12-q8-dt-3-2m-x-7m-tret-1-lau-va-lung-2-ngu-khu-vu-pr42137069",
"25 m²",,,,"4,85 tỷ","Đầy đủ","Sổ đỏ/ Sổ hồng","3 phòng","3 phòng","5 tầng","https://batdongsan.com.vn/ban-nha-rieng-pho-chua-boc-phuong-kim-lien/hiem-lo-goc-full-noi-that-dong-da-25m2-5t-gan-chi-4-98-ty-pr42014175",
"30 m²",,,,"4,2 tỷ",,,,,,"https://batdongsan.com.vn/ban-nha-rieng-phuong-la-khe/ngo-dinh-man-hang-xom-park-city-thoang-sang-30m-4-2-ty-pr42567757",
"205 m²",,"Nam","8 m","Thỏa thuận",,"Sổ đỏ/ Sổ hồng",,,,"https://batdongsan.com.vn/ban-dat-xa-nguyen-khe/ban-205m2-gia-thoa-thuan-tai-dong-anh-ha-noi-pr42567533","6 m"
"55 m²",,,,"1 tỷ","Cơ bản","Hợp đồng mua bán","2 phòng","1 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-van-linh-xa-an-phu-tay-prj-hqc-plaza/ban-cc-2pn-1wc-55m2-tai-1-ty-binh-chanh-hcm-pr42567759",
"37 m²","Đông - Nam","Đông - Nam",,"2,6 tỷ",,"Hợp đồng mua bán",,,,"https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-van-linh-phuong-tan-phong-9-prj-lavida-plus/chinh-chu-ban-dep-png-q-7-2-6-ty-37m2-dang-c-thue-pr42536412",
"2.705 m²",,"Đông - Nam","60 m","95 triệu/m²",,"Sổ đỏ/ Sổ hồng",,,,"https://batdongsan.com.vn/ban-dat-duong-nguyen-an-ninh-phuong-hoa-khanh-bac/b-bien-sieu-vip-3mt-khh-lien-chieu-da-ng-dt-2-705m2-gia-95tr-m2-pr41875970","10,5 m"
"65 m²",,,"4,8 m","9,5 tỷ",,"Sổ đỏ/ Sổ hồng","6 phòng","7 phòng","5 tầng","https://batdongsan.com.vn/ban-nha-rieng-duong-lac-long-quan-phuong-11-10/-moi-100-gan-cho-tan-binh-dt-4-8-x-14m-x-5-tang-6pn-7wc-goc-2-mt-pr42567760","5 m"
"55 m²",,,,"1 tỷ",,,"2 phòng","2 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-van-linh-xa-an-phu-tay-prj-hqc-plaza/-gia-re-gia-1-ty-dt-55m2-2pn-2wc-ky-hd-truc-tiep-voi-cdt-lh-pr42466931",
"425 m²",,"Đông - Nam",,"55 triệu/m²",,,,,,"https://batdongsan.com.vn/ban-dat-duong-nguyen-tat-thanh-phuong-hoa-hiep-nam/ban-lo-425m2-doi-dien-mikazuki-japanese-resorts-va-gan-nami-beach-club-lien-he-0911434268-pr37201778","15 m"
"52 m²",,"Tây","8 m","2,77 tỷ",,"Sổ đỏ/ Sổ hồng",,,,"https://batdongsan.com.vn/ban-dat-duong-tinh-lo-10-phuong-tan-tao/-hxh-quan-binh-full-tho-cu-pr42567535","12 m"
"85 m²",,,,"Thỏa thuận","Full.","Sổ đỏ/ Sổ hồng","2 phòng","1 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-huu-canh-phuong-22-prj-saigon-pearl/ban-gap-full-noi-that-riverview-85m2-gia-3ty268-h-co-so-pr42373259",
"35 m²",,,"4,5 m","11 tỷ",,"Sổ đỏ/ Sổ hồng","3 phòng","4 phòng","5 tầng","https://batdongsan.com.vn/ban-nha-rieng-pho-trung-kinh-phuong-yen-hoa-2/ban-35m-x-5-tang-oto-vao-gia-11-ty-co-thuong-luong-pr41522402",
"115 m²",,,"7 m","14 tỷ",,"Sổ đỏ/ Sổ hồng.","5 phòng","6 phòng","5 tầng","https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-nghia-tru-prj-the-crown-vinhomes-ocean-park-3/doc-nhat-xe-khe-vinh-tay-nhin-trung-tam-thuong-mai-7-tang-mat-tien-7m-pr42384094","15 m"
"63 m²",,,,"4,65 tỷ","Đầy đủ","Sổ đỏ/ Sổ hồng","2 phòng","2 phòng",,"https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-quoc-lo-5b-xa-da-ton-prj-masteri-waterfront/ban-2pn-2wc-tai-4-65-ty-63m2-pr42502403",
